name,stationcount
"""bob""",2
"""bob""dobbs",1
"""chicago's  greatest  hits """,1
"""it's called culture""",1
"""radio k""",1
"""rockfords country q98.5""",1
"""today's best country""",1
#,11
#00s,3
#101,2
#80,6
#80s,8
#90,2
#90s,8
#bordeaux,1
#breaks,1
#charts,7
#chill,2
#chill #80s #90s,1
#chillout,3
#classic,1
#classical,1
#club,1
#dj,2
#djmix,1
#electro,2
#electronic-radio,1
#exclusive,2
#free,5
#freefm,8
#freefm #80s #90s #80,1
#freefm80s,1
#freefmchill,1
#gaming,1
#hits,1
#hitsonly,2
#house,2
#mashup,5
#minimal,2
#mixtapes,1
#music,2
#nightlife,1
#oldschool,2
#original,1
#partybreaks,2
#partyhard,1
#pop,3
#progressive,1
#public radio,1
#radio,1
#radio france,1
#raproyal,1
#russiandance,1
#techno,3
#top,1
#top100,3
#top200,1
#top40,1
#usrap,1
's,1
+,3
-,2
..,1
0,2
0 mhz,2
00,1
00's,22
000,2
007,1
00er,4
00s,136
00х,1
00’s,1
1,4
1 live,1
1 live fiehe,1
1.000,1
1.fm,1
1.fm jazz,1
10's,4
100,1
100.1,8
100.1 fm,9
100.3,5
100.3 fm,12
100.4,1
100.5,3
100.5 fm,6
100.6,1
100.6 fm,1
100.7,3
100.7 fm,4
100.9,4
100.9 fm,12
100.9fm,3
1000,1
1000 am,2
1008可乐台,1
101,2
101.1,3
101.1 fm,7
101.3,9
101.3 fm,16
101.5,6
101.5 fm,9
101.7,7
101.7 fm,19
101.8,2
101.9,3
101.9 fm,7
101.ru,6
102.1,2
102.1 fm,7
102.3,3
102.3 fm,4
102.5,6
102.5 fm,12
102.7,6
102.7 fm,11
102.8,1
102.8 fm,1
102.9,10
102.9 fm,18
1020 am,1
1024,1
103.0,1
103.0 fm,1
103.1,3
103.1 fm,7
103.3,9
103.3 fm,15
103.4,1
103.5,4
103.5 fm,6
103.6,1
103.7,3
103.7 fm,10
103.8,1
103.9,7
103.9 fm,13
1030,2
1030 am,6
104.1,9
104.1 fm,11
104.3,4
104.3 fm,6
104.5,9
104.5 fm,16
104.7,2
104.7 fm,4
104.9,3
104.9 fm,16
105 digital,1
105.1,4
105.1 fm,8
105.2,3
105.2 fm,3
105.3,2
105.3 fm,4
105.4,1
105.5,4
105.5 fm,6
105.7,2
105.7 fm,5
105.8,1
105.9,3
105.9 fm,5
1050,1
1050 am,2
106.1,5
106.1 fm,11
106.2,2
106.2 fm,1
106.3,1
106.3 fm,4
106.5,3
106.5 fm,5
106.7,2
106.7 fm,5
106.9,1
106.9 fm,3
107,1
107.1,8
107.1 fm,9
107.2,1
107.3,3
107.3 fm,4
107.4,1
107.5,4
107.5 fm,12
107.7,3
107.7 fm,7
107.75 fm ซันไชน์ เรดิโอ พัทยา,1
107.8,1
107.8 fm,1
107.9,7
107.9 fm,13
1070 am,1
1090 am,2
10er,2
10s,21
10’s,1
11.11,1
1100,1
1100 am,1
1110 am,5
1120,1
1120 am,2
1140,1
1140 am,1
1150,2
1150 am,3
1160 am,1
1180,1
1180 am,4
"12""",2
1210 am,1
1220 am,1
1224 am,1
1224am,1
1240,1
1250,1
1250 am,2
1260,1
1260 am,2
1270,1
1270 am,1
128,1
128 aac,2
128 kbit/s,3
128 kbps,17
128 mp3,1
1280,1
1280 am,2
128kbit,9
